CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,TotalAmount
1102,59165,01-01-2023 00:00,7,27.76,194.32
1435,54727,01-01-2023 01:00,6,64.03,384.18
1860,53965,01-01-2023 02:00,5,21.96,109.8
1270,55686,01-01-2023 03:00,1,76.9,76.9
1106,59242,01-01-2023 04:00,2,9.52,19.04
1071,53701,01-01-2023 05:00,8,96.12,768.96
1700,52780,01-01-2023 06:00,1,11.83,11.83
1020,57398,01-01-2023 07:00,3,60.05,180.15
1614,51588,01-01-2023 08:00,2,90.71,181.42
1121,52368,01-01-2023 09:00,5,6.13,30.65
1466,55789,01-01-2023 10:00,4,52.36,209.44
1214,50436,01-01-2023 11:00,7,38.25,267.75
1330,52828,01-01-2023 12:00,5,60.13,300.65
1458,51556,01-01-2023 13:00,8,26.42,211.36
1087,57570,01-01-2023 14:00,4,11.17,44.68
1372,57480,01-01-2023 15:00,6,64.46,386.76
1099,59496,01-01-2023 16:00,4,44.6,178.4
1871,50182,01-01-2023 17:00,2,64.14,128.28
1663,57190,01-01-2023 18:00,1,25,25
1130,56687,01-01-2023 19:00,1,37.18,37.18
1661,55565,01-01-2023 20:00,8,58.36,466.88
1308,57241,01-01-2023 21:00,4,61.35,245.4
1769,57651,01-01-2023 22:00,5,40.37,201.85
1343,55575,01-01-2023 23:00,8,31.61,252.88
1491,51589,02-01-2023 00:00,7,31,217
1413,59779,02-01-2023 01:00,8,21.6,172.8
1805,58851,02-01-2023 02:00,8,35.91,287.28
1385,50159,02-01-2023 03:00,6,23.95,143.7
1191,56555,02-01-2023 04:00,2,65.21,130.42
1955,59203,02-01-2023 05:00,6,59.06,354.36
1276,58244,02-01-2023 06:00,1,41.35,41.35
1160,56846,02-01-2023 07:00,1,35.95,35.95
1459,52307,02-01-2023 08:00,3,27.57,82.71
1313,51228,02-01-2023 09:00,3,55.87,167.61
1021,57226,02-01-2023 10:00,5,92.3,461.5
1252,55590,02-01-2023 11:00,1,70.14,70.14
1747,56919,02-01-2023 12:00,6,75.72,454.32
1856,55585,02-01-2023 13:00,7,84.27,589.89
1560,59227,02-01-2023 14:00,3,38.41,115.23
1474,56046,02-01-2023 15:00,4,10.97,43.88
1058,54945,02-01-2023 16:00,3,64.14,192.42
1510,57927,02-01-2023 17:00,1,22.92,22.92
1681,57016,02-01-2023 18:00,8,59.06,472.48
1475,57758,02-01-2023 19:00,2,75.25,150.5
1699,55086,02-01-2023 20:00,1,79.45,79.45
1975,59456,02-01-2023 21:00,8,33.67,269.36
1782,57161,02-01-2023 22:00,7,53.68,375.76
1189,51884,02-01-2023 23:00,7,63.99,447.93
1957,51809,03-01-2023 00:00,4,82.85,331.4
1686,53167,03-01-2023 01:00,9,77.33,695.97
1957,56352,03-01-2023 02:00,6,98.86,593.16
1562,59009,03-01-2023 03:00,2,5.77,11.54
1875,56056,03-01-2023 04:00,1,46.56,46.56
1566,52437,03-01-2023 05:00,1,29.32,29.32
1243,56468,03-01-2023 06:00,9,16.39,147.51
1831,59080,03-01-2023 07:00,4,91.59,366.36
1504,55951,03-01-2023 08:00,5,99.81,499.05
1130,55276,03-01-2023 09:00,3,22.16,66.48
1484,58859,03-01-2023 10:00,4,8.65,34.6
1818,57818,03-01-2023 11:00,8,31.13,249.04
1646,54728,03-01-2023 12:00,4,84.31,337.24
1020,52624,03-01-2023 13:00,9,32.92,296.28
1840,55738,03-01-2023 14:00,9,10.41,93.69
1166,54232,03-01-2023 15:00,6,9.99,59.94
1273,55793,03-01-2023 16:00,2,45.61,91.22
1387,54523,03-01-2023 17:00,7,93.52,654.64
1600,55571,03-01-2023 18:00,9,32.16,289.44
1315,59010,03-01-2023 19:00,6,45.58,273.48
1013,59298,03-01-2023 20:00,3,14.68,44.04
1241,52224,03-01-2023 21:00,7,51.89,363.23
1776,58389,03-01-2023 22:00,5,71.17,355.85
1345,56091,03-01-2023 23:00,1,30.76,30.76
1564,58662,04-01-2023 00:00,3,33.19,99.57
1897,56361,04-01-2023 01:00,5,84.99,424.95
1339,51948,04-01-2023 02:00,7,5.98,41.86
1091,57094,04-01-2023 03:00,3,65.46,196.38
1366,56318,04-01-2023 04:00,6,42.42,254.52
1955,53796,04-01-2023 05:00,5,33.35,166.75
1454,50234,04-01-2023 06:00,1,67.47,67.47
1427,59120,04-01-2023 07:00,6,84.29,505.74
1508,53607,04-01-2023 08:00,8,58.05,464.4
1775,58043,04-01-2023 09:00,1,7.95,7.95
1942,50522,04-01-2023 10:00,2,48.83,97.66
1034,55904,04-01-2023 11:00,4,48.96,195.84
1205,54888,04-01-2023 12:00,2,56.66,113.32
1080,59821,04-01-2023 13:00,9,68.74,618.66
1931,55832,04-01-2023 14:00,8,6.84,54.72
